iter	Passed	Remaining
0	137	137613
1	225	112653
2	319	106215
3	420	104749
4	508	101193
5	589	97654
6	678	96296
7	771	95725
8	859	94675
9	945	93585
10	1052	94623
11	1150	94714
12	1254	95245
13	1352	95286
14	1464	96200
15	1556	95753
16	1664	96225
17	1776	96937
18	1880	97087
19	1974	96762
20	2103	98072
21	2198	97735
22	2302	97786
23	2516	102350
24	2646	103216
25	2764	103561
26	2874	103604
27	2964	102893
28	3057	102365
29	3148	101809
30	3233	101085
31	3330	100744
32	3441	100852
33	3522	100081
34	3614	99645
35	3710	99368
36	3799	98889
37	3882	98286
38	3971	97850
39	4091	98200
40	4180	97789
41	4255	97054
42	4351	96850
43	4436	96392
44	4529	96122
45	4626	95943
46	4718	95684
47	4801	95236
48	4886	94830
49	4971	94462
50	5068	94314
51	5158	94037
52	5243	93683
53	5330	93389
54	5418	93100
55	5512	92921
56	5604	92724
57	5711	92755
58	5810	92675
59	5918	92725
60	6019	92660
61	6138	92862
62	6229	92649
63	6344	92789
64	6441	92662
65	6538	92525
66	6632	92365
67	6728	92222
68	6828	92141
69	6932	92099
70	7061	92402
71	7166	92373
72	7288	92557
73	7406	92687
74	7506	92580
75	7617	92611
76	7768	93117
77	7873	93064
78	7987	93115
79	8086	93000
80	8181	92825
81	8271	92605
82	8375	92528
83	8466	92326
84	8573	92293
85	8729	92775
86	8840	92777
87	8965	92910
88	9089	93035
89	9194	92966
90	9282	92718
91	9393	92708
92	9496	92617
93	9578	92321
94	9662	92049
95	9748	91794
96	9830	91512
97	9931	91407
98	10165	92517
99	10292	92630
100	10418	92734
101	10566	93026
102	10692	93117
103	10808	93115
104	10907	92977
105	11022	92967
106	11193	93419
107	11301	93340
108	11401	93199
109	11500	93050
110	11598	92889
111	11698	92751
112	11805	92664
113	11923	92667
114	12106	93169
115	12266	93480
116	12512	94429
117	12672	94718
118	12819	94909
119	12936	94865
120	13068	94937
121	13183	94876
122	13276	94661
123	13397	94645
124	13495	94465
125	13570	94132
126	13660	93905
127	13753	93697
128	13840	93450
129	13939	93286
130	14057	93251
131	14145	93015
132	14230	92768
133	14323	92565
134	14405	92303
135	14501	92128
136	14585	91875
137	14669	91631
138	14760	91432
139	14852	91237
140	14933	90978
141	15013	90713
142	15141	90741
143	15237	90581
144	15356	90551
145	15456	90411
146	15549	90231
147	15638	90025
148	15735	89872
149	15837	89747
150	15960	89736
151	16063	89616
152	16184	89599
153	16279	89434
154	16378	89287
155	16466	89089
156	16558	88910
157	16655	88756
158	16755	88626
159	16846	88446
160	16942	88288
161	17031	88099
162	17135	87987
163	17227	87816
164	17319	87646
165	17412	87483
166	17498	87284
167	17603	87180
168	17709	87080
169	17791	86863
170	17879	86676
171	17986	86585
172	18073	86396
173	18168	86250
174	18262	86094
175	18358	85950
176	18454	85807
177	18536	85599
178	18616	85384
179	18753	85433
180	18865	85362
181	18947	85157
182	19037	84993
183	19126	84822
184	19203	84597
185	19285	84399
186	19365	84191
187	19457	84040
188	19542	83858
189	19625	83665
190	19711	83489
191	19792	83293
192	19891	83171
193	20009	83130
194	20097	82967
195	20182	82788
196	20272	82632
197	20359	82467
198	20450	82315
199	20535	82143
200	20617	81955
201	20701	81782
202	20792	81633
203	20878	81465
204	20958	81278
205	21056	81159
206	21152	81035
207	21239	80872
208	21318	80685
209	21398	80497
210	21493	80372
211	21585	80233
212	21663	80044
213	21750	79885
214	21832	79712
215	21930	79597
216	22047	79553
217	22130	79386
218	22210	79209
219	22286	79015
220	22383	78898
221	22463	78724
222	22558	78600
223	22636	78419
224	22723	78271
225	22829	78185
226	22913	78026
227	23012	77920
228	23090	77740
229	23170	77572
230	23253	77411
231	23350	77297
232	23455	77211
233	23538	77053
234	23633	76934
